,Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,Team1,Team2,Result,Unnamed: 0
0,Group stage,1.0,Thu,9/20/2018,18:55 (19:55),Rapid Wien at,0.9,2–0,0.8,ru Spartak Moscow,"21,400",Allianz Stadion,Alain Bieri,Match Report,,2,0,1,
1,Group stage,1.0,Thu,9/20/2018,18:55 (19:55),Vidi hu,0.5,0–2,1.4,by BATE Borisov,"14,726",Groupama Arena,Morten Krogh,Match Report,,0,2,2,
2,Group stage,1.0,Thu,9/20/2018,18:55 (19:55),Marseille fr,2.5,1–2,0.6,de Eint Frankfurt,,Orange Vélodrome,Matej Jug,Match Report,,1,2,2,
3,Group stage,1.0,Thu,9/20/2018,18:55 (19:55),Lazio it,3.2,2–1,0.8,cy Apollon,"11,898",Stadio Olimpico,Aghayev Aliyev,Match Report,,2,1,1,
4,Group stage,1.0,Thu,9/20/2018,18:55 (19:55),Villarreal es,0.9,2–2,1.5,sct Rangers,"15,982",Estadio de la Cerámica,István Kovács,Match Report,,2,2,0,
5,Group stage,1.0,Thu,9/20/2018,18:55 (19:55),Sevilla es,3.4,5–1,0.7,be Standard Liège,"30,003",Estadio Ramón Sánchez Pizjuán,Gediminas Mažeika,Match Report,,5,1,1,
6,Group stage,1.0,Thu,9/20/2018,18:55 (19:55),Genk be,1.8,2–0,0.1,se Malmö,"11,590",Luminus Arena,Mikhail Vilkov,Match Report,,2,0,1,
7,Group stage,1.0,Thu,9/20/2018,18:55 (19:55),Rennes fr,1.5,2–1,0.4,cz Jablonec,"20,628",Roazhon Park,Ola Nilsen,Match Report,,2,1,1,
8,Group stage,1.0,Thu,9/20/2018,19:55,Dynamo Kyiv ua,1.5,2–2,1.3,kz Astana FK,"21,783",NSK Olimpijs'kyj,Ali Palabıyık,Match Report,,2,2,0,
9,Group stage,1.0,Thu,9/20/2018,19:55,Beşiktaş tr,1.6,3–1,2.0,no Sarpsborg 08,"24,955",Vodafone Arena,Ádám Farkas,Match Report,,3,1,1,
10,Group stage,1.0,Thu,9/20/2018,19:55,PAOK gr,0.1,0–1,2.6,eng Chelsea,"24,310",Stadio Toumbas,Alberto Undiano,Match Report,,0,1,2,
11,Group stage,1.0,Thu,9/20/2018,19:55,Akhisarspor tr,1.0,0–1,0.9,ru Krasnodar,"6,555",Spor Toto Akhisar Stadyumu,Ville Nevalainen,Match Report,,0,1,2,
12,Group stage,1.0,Thu,9/20/2018,20:00 (22:00),Arsenal eng,2.7,4–2,0.5,ua Vorskla Poltava,"59,039",Emirates Stadium,Lawrence Visser,Match Report,,4,2,1,
13,Group stage,1.0,Thu,9/20/2018,20:00 (22:00),Celtic sct,1.1,1–0,0.1,no Rosenborg,"27,287",Celtic Park,Paweł Gil,Match Report,,1,0,1,
14,Group stage,1.0,Thu,9/20/2018,20:00 (22:00),Sporting CP pt,1.6,2–0,0.4,az Qarabağ Ağdam,"30,098",Estádio José Alvalade,Karim Abed,Match Report,,2,0,1,
15,Group stage,1.0,Thu,9/20/2018,21:00 (22:00),FC Copenhagen dk,1.5,1–1,0.9,ru Zenit,"19,005",Telia Parken,Georgi Kabakov,Match Report,,1,1,0,
16,Group stage,1.0,Thu,9/20/2018,21:00 (22:00),F91 Dudelange lu,0.2,0–1,2.5,it Milan,"7,983",Stade Josy Barthel,Srđan Jovanović,Match Report,,0,1,2,
17,Group stage,1.0,Thu,9/20/2018,21:00 (22:00),Dinamo Zagreb hr,2.3,4–1,1.2,tr Fenerbahçe,"17,303",Stadion Maksimir,Chris Kavanagh,Match Report,,4,1,1,
18,Group stage,1.0,Thu,9/20/2018,21:00 (22:00),Slavia Prague cz,1.4,1–0,0.3,fr Bordeaux,"16,548",Sinobo Stadium,Scott Parker,Match Report,,1,0,1,
19,Group stage,1.0,Thu,9/20/2018,21:00 (22:00),RB Leipzig de,1.1,2–3,1.5,at RB Salzburg,"24,057",Red Bull Arena,Andreas Ekberg,Match Report,,2,3,2,
20,Group stage,1.0,Thu,9/20/2018,21:00 (22:00),Spartak Trnava sk,1.2,1–0,1.0,be Anderlecht,"17,114",City Arena Trnava,Kevin Clancy,Match Report,,1,0,1,
21,Group stage,1.0,Thu,9/20/2018,22:00,AÉK Lárnaka cy,0.5,0–1,1.6,ch Zürich,"3,173",Neo GSP,Alexandre Boucaut,Match Report,,0,1,2,
22,Group stage,1.0,Thu,9/20/2018,22:00,Olympiacos gr,1.0,0–0,1.0,es Betis,"28,650",Stadio Georgios Karaiskáki,Daniel Stefański,Match Report,,0,0,0,
23,Group stage,1.0,Thu,9/20/2018,22:00,Ludogorets bg,0.8,2–3,1.3,de Leverkusen,"8,240",Ludogorets Arena,Paolo Mazzoleni,Match Report,,2,3,2,
25,Group stage,2.0,Thu,10/4/2018,18:55 (19:55),Rosenborg no,0.7,1–3,2.1,de RB Leipzig,"14,000",Lerkendal Stadion,Marco Guida,Match Report,,1,3,2,
26,Group stage,2.0,Thu,10/4/2018,18:55 (19:55),Leverkusen de,3.0,4–2,1.2,cy AÉK Lárnaka,"23,354",BayArena,Yevhen Aranovskyi,Match Report,,4,2,1,
27,Group stage,2.0,Thu,10/4/2018,18:55 (19:55),Bordeaux fr,2.1,1–2,0.7,dk FC Copenhagen,"11,860",Stade Matmut-Atlantique,Roi Reinshreiber,Match Report,,1,2,2,
28,Group stage,2.0,Thu,10/4/2018,18:55 (19:55),RB Salzburg at,4.1,3–1,0.2,sct Celtic,"24,500",Red Bull Arena,Serhiy Boiko,Match Report,,3,1,1,
29,Group stage,2.0,Thu,10/4/2018,18:55 (19:55),Betis es,2.9,3–0,0.5,lu F91 Dudelange,"40,133",Estadio Benito Villamarín,Andrew Dallas,Match Report,,3,0,1,
30,Group stage,2.0,Thu,10/4/2018,18:55 (19:55),Zürich ch,0.5,1–0,0.9,bg Ludogorets,"7,092",Stadion Letzigrund,José Sánchez,Match Report,,1,0,1,
31,Group stage,2.0,Thu,10/4/2018,18:55 (19:55),Milan it,2.1,3–1,0.5,gr Olympiacos,"22,294",Stadio Giuseppe Meazza,Bobby Madden,Match Report,,3,1,1,
32,Group stage,2.0,Thu,10/4/2018,18:55 (19:55),Anderlecht be,0.5,0–2,1.8,hr Dinamo Zagreb,"12,137",Stade Constant Vanden Stock,Vladislav Bezborodov,Match Report,,0,2,2,
33,Group stage,2.0,Thu,10/4/2018,19:55,Fenerbahçe tr,2.2,2–0,0.4,sk Spartak Trnava,"29,622",Ülker Stadyumu Fenerbahçe Şükrü Saracoğl...,Tobias Welz,Match Report,,2,0,1,
34,Group stage,2.0,Thu,10/4/2018,19:55,Zenit ru,0.9,1–0,1.5,cz Slavia Prague,"45,408",Gazprom Arena,Hüseyin Göçek,Match Report,,1,0,1,
35,Group stage,2.0,Thu,10/4/2018,19:55,Vorskla Poltava ua,0.2,1–2,2.2,pt Sporting CP,"10,082",Stadion Vorskla im. Oleksiya Butov'skogo,Nikola Dabanović,Match Report,,1,2,2,
36,Group stage,2.0,Thu,10/4/2018,20:00 (22:00),Rangers sct,2.2,3–1,0.5,at Rapid Wien,"47,534",Ibrox Stadium,Ruddy Buquet,Match Report,,3,1,1,
37,Group stage,2.0,Thu,10/4/2018,20:00 (22:00),Chelsea eng,3.5,1–0,0.5,hu Vidi,"39,925",Stamford Bridge,Miroslav Zelinka,Match Report,,1,0,1,
38,Group stage,2.0,Thu,10/4/2018,20:50 (17:50),Astana FK kz,0.6,2–0,0.9,fr Rennes,"25,302",Astana Arena,Mattias Gestranius,Match Report,,2,0,1,
39,Group stage,2.0,Thu,10/4/2018,20:55 (19:55),Qarabağ Ağdam az,1.0,0–3,2.5,eng Arsenal,"63,412",Bakı Olimpiya Stadionu,Davide Massa,Match Report,,0,3,2,
40,Group stage,2.0,Thu,10/4/2018,21:00 (22:00),Sarpsborg 08 no,2.0,3–1,0.5,be Genk,"7,885",Sarpsborg Stadion,Ivan Bebek,Match Report,,3,1,1,
41,Group stage,2.0,Thu,10/4/2018,21:00 (22:00),Standard Liège be,1.0,2–1,1.5,tr Akhisarspor,"8,233",Stade Maurice Dufrasne,Manuel Schüttengruber,Match Report,,2,1,1,
