Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,8/9/2019,20:45 (21:45),Monaco,0.6,0–3,0.8,Lyon,"10,000",Stade Louis II.,Ruddy Buquet,Match Report,
1,Sat,8/10/2019,17:30 (18:30),Marseille,0.9,0–2,1.2,Reims,"52,887",Orange Vélodrome,Jérôme Brisard,Match Report,
1,Sat,8/10/2019,20:00 (21:00),Montpellier,2.9,0–1,1.2,Rennes,"15,212",Stade de la Mosson,Willy Delajod,Match Report,
1,Sat,8/10/2019,20:00 (21:00),Dijon,2.1,1–2,1,Saint-Étienne,"14,334",Stade Gaston Gérard,Thomas Léonard,Match Report,
1,Sat,8/10/2019,20:00 (21:00),Angers,1.6,3–1,1,Bordeaux,"10,749",Stade Raymond Kopa,Hakim Ben El Hadj Salem,Match Report,
1,Sat,8/10/2019,20:00 (21:00),Brest,2.2,1–1,1.5,Toulouse,"14,238",Stade Francis-Le Blé,Olivier Thual,Match Report,
1,Sat,8/10/2019,20:00 (21:00),Nice,1.8,2–1,0.8,Amiens,"17,719",Stade de Nice,Jérémie Pignard,Match Report,
1,Sun,8/11/2019,15:00 (16:00),Lille,1.3,2–1,0.6,Nantes,"34,494",Stade Pierre-Mauroy,Mikael Lesage,Match Report,
1,Sun,8/11/2019,17:00 (18:00),Strasbourg,1.7,1–1,0.3,Metz,"25,476",Stade de la Meinau,Antony Gautier,Match Report,
1,Sun,8/11/2019,21:00 (22:00),Paris S-G,3.5,3–0,0.3,Nîmes,"47,151",Parc des Princes,Clément Turpin,Match Report,
,,,,,,,,,,,,,
2,Fri,8/16/2019,20:45 (21:45),Lyon,1.1,6–0,0.4,Angers,"49,871",Groupama Stadium,Benoît Millot,Match Report,
2,Sat,8/17/2019,17:30 (18:30),Nantes,0.5,0–0,1.2,Marseille,"34,832",Stade de la Beaujoire - Louis Fonteneau,Benoît Bastien,Match Report,
2,Sat,8/17/2019,20:00 (21:00),Bordeaux,1.2,1–1,0.8,Montpellier,"30,192",Stade Matmut-Atlantique,Franck Schneider,Match Report,
2,Sat,8/17/2019,20:00 (21:00),Nîmes,1.5,1–2,1.9,Nice,"13,243",Stade des Costières,François Letexier,Match Report,
2,Sat,8/17/2019,20:00 (21:00),Toulouse,1.5,1–0,1.3,Dijon,"10,583",Stadium Municipal,Ruddy Buquet,Match Report,
2,Sat,8/17/2019,20:00 (21:00),Metz,2.6,3–0,0.8,Monaco,"19,088",Stade Saint-Symphorien,Eric Wattellier,Match Report,
2,Sat,8/17/2019,20:00 (21:00),Amiens,1,1–0,0.3,Lille,"12,481",Stade Crédit Agricole la Licorne,Karim Abed,Match Report,
2,Sun,8/18/2019,15:00 (16:00),Saint-Étienne,2.3,1–1,0.5,Brest,"28,645",Stade Geoffroy-Guichard,Johan Hamel,Match Report,
2,Sun,8/18/2019,17:00 (18:00),Reims,0.5,0–0,0.4,Strasbourg,"13,714",Stade Auguste-Delaune II,Florent Batta,Match Report,
2,Sun,8/18/2019,21:00 (22:00),Rennes,1.2,2–1,1,Paris S-G,"28,596",Roazhon Park,Antony Gautier,Match Report,
,,,,,,,,,,,,,
3,Sat,8/24/2019,20:00 (21:00),Amiens,0.4,1–2,2.4,Nantes,"11,393",Stade Crédit Agricole la Licorne,Jeremy Stinat,Match Report,
3,Sat,8/24/2019,20:00 (21:00),Dijon,0.4,0–2,0.6,Bordeaux,"12,471",Stade Gaston Gérard,François Letexier,Match Report,
3,Sat,8/24/2019,20:00 (21:00),Brest,0.5,1–0,1,Reims,"13,958",Stade Francis-Le Blé,Hakim Ben El Hadj Salem,Match Report,
3,Sat,8/24/2019,20:00 (21:00),Angers,1.9,3–0,0.2,Metz,"9,001",Stade Raymond Kopa,Stéphanie Frappart,Match Report,
3,Sun,8/25/2019,15:00 (16:00),Monaco,2,2–2,2.5,Nîmes,"7,438",Stade Louis II.,Amaury Delerue,Match Report,
3,Sun,8/25/2019,17:00 (18:00),Strasbourg,1.9,0–2,0.6,Rennes,"24,951",Stade de la Meinau,Ruddy Buquet,Match Report,
3,Sun,8/25/2019,21:00 (22:00),Paris S-G,4.1,4–0,0.4,Toulouse,"47,325",Parc des Princes,Jérôme Brisard,Match Report,
3,Tue,8/27/2019,19:00 (20:00),Montpellier,2.1,1–0,0.9,Lyon,"19,387",Stade de la Mosson,Mikael Lesage,Match Report,
3,Wed,8/28/2019,19:00 (20:00),Lille,2.4,3–0,0.8,Saint-Étienne,"36,138",Stade Pierre-Mauroy,Olivier Thual,Match Report,
3,Wed,8/28/2019,21:00 (22:00),Nice,1.7,1–2,1.7,Marseille,"31,825",Stade de Nice,Clément Turpin,Match Report,
,,,,,,,,,,,,,
4,Fri,8/30/2019,20:45 (21:45),Metz,0.4,0–2,1.6,Paris S-G,"20,685",Stade Saint-Symphorien,Franck Schneider,Match Report,
