Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Regular season,1,Fri,8/10/2018,20:45 (21:45),Marseille,3.2,4–0,0.3,Toulouse,"60,756",Orange Vélodrome,Ruddy Buquet,Match Report,
Regular season,1,Sat,8/11/2018,17:00 (18:00),Nantes,1.4,1–3,2.6,Monaco,"32,760",Stade de la Beaujoire - Louis Fonteneau,Jérôme Brisard,Match Report,
Regular season,1,Sat,8/11/2018,20:00 (21:00),Montpellier,1.3,1–2,2,Dijon,"12,765",Stade de la Mosson,Florent Batta,Match Report,
Regular season,1,Sat,8/11/2018,20:00 (21:00),Nice,1.2,0–1,0.3,Reims,"21,421",Stade de Nice,Johan Hamel,Match Report,
Regular season,1,Sat,8/11/2018,20:00 (21:00),Saint-Étienne,0.8,2–1,1.6,Guingamp,"26,006",Stade Geoffroy-Guichard,Amaury Delerue,Match Report,
Regular season,1,Sat,8/11/2018,20:00 (21:00),Lille,1.7,3–1,0.5,Rennes,"25,708",Stade Pierre-Mauroy,Willy Delajod,Match Report,
Regular season,1,Sat,8/11/2018,20:00 (21:00),Angers,2.8,3–4,1.5,Nîmes,"9,534",Stade Raymond Kopa,Antony Gautier,Match Report,
Regular season,1,Sun,8/12/2018,15:00 (16:00),Lyon,1.4,2–0,0.4,Amiens,"48,263",Groupama Stadium,Franck Schneider,Match Report,
Regular season,1,Sun,8/12/2018,17:00 (18:00),Bordeaux,0.2,0–2,1.5,Strasbourg,"23,079",Stade Matmut-Atlantique,Hakim Ben El Hadj Salem,Match Report,
Regular season,1,Sun,8/12/2018,21:00 (22:00),Paris S-G,3,3–0,0.2,Caen,"47,289",Parc des Princes,Benoît Bastien,Match Report,
,,,,,,,,,,,,,,
Regular season,2,Fri,8/17/2018,20:45 (21:45),Reims,0.6,1–0,1.1,Lyon,"18,917",Stade Auguste-Delaune II,Ruddy Buquet,Match Report,
Regular season,2,Sat,8/18/2018,17:00 (18:00),Guingamp,1.1,1–3,2.6,Paris S-G,"19,003",Stade du Roudourou,Clément Turpin,Match Report,
Regular season,2,Sat,8/18/2018,20:00 (21:00),Amiens,1.2,1–2,0.3,Montpellier,"10,402",Stade de la Licorne,Karim Abed,Match Report,
Regular season,2,Sat,8/18/2018,20:00 (21:00),Rennes,0.3,1–0,0.4,Angers,"19,300",Roazhon Park,Olivier Thual,Match Report,
Regular season,2,Sat,8/18/2018,20:00 (21:00),Monaco,1.4,0–0,0.7,Lille,"11,140",Stade Louis II.,Thomas Léonard,Match Report,
Regular season,2,Sat,8/18/2018,20:00 (21:00),Caen,1.4,1–1,0.9,Nice,"16,132",Stade Michel d'Ornano,Eric Wattellier,Match Report,
Regular season,2,Sat,8/18/2018,20:00 (21:00),Dijon,2.9,2–0,0.3,Nantes,"13,617",Stade Gaston Gérard,Jeremy Stinat,Match Report,
Regular season,2,Sun,8/19/2018,15:00 (16:00),Strasbourg,0.6,1–1,0.4,Saint-Étienne,"25,385",Stade de la Meinau,Benoît Millot,Match Report,
Regular season,2,Sun,8/19/2018,17:00 (18:00),Toulouse,1.2,2–1,1.1,Bordeaux,"15,387",Stadium Municipal,François Letexier,Match Report,
Regular season,2,Sun,8/19/2018,21:00 (22:00),Nîmes,1.4,3–1,1.2,Marseille,"15,285",Stade des Costières,Benoît Bastien,Match Report,
,,,,,,,,,,,,,,
Regular season,3,Fri,8/24/2018,20:45 (21:45),Lyon,1.6,2–0,0.5,Strasbourg,"47,341",Groupama Stadium,Amaury Delerue,Match Report,
