Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,8/5/2022,21:00 (22:00),Lyon,1.3,2–1,1.5,Ajaccio,"48,516",Matmut Stadium de Gerland,Benoît Bastien,Match Report,
1,Sat,8/6/2022,17:00 (18:00),Strasbourg,0.8,1–2,2.8,Monaco,"25,359",Stade de la Meinau,François Letexier,Match Report,
1,Sat,8/6/2022,21:00 (22:00),Clermont Foot,0.3,0–5,3.5,Paris S-G,"12,203",Stade Gabriel Montpied,Jeremy Stinat,Match Report,
1,Sun,8/7/2022,13:00 (14:00),Toulouse,0.9,1–1,1.2,Nice,"20,567",Stadium Municipal,Johan Hamel,Match Report,
1,Sun,8/7/2022,15:00 (16:00),Lens,2.5,3–2,1.2,Brest,"37,015",Stade Bollaert-Delelis,Thomas Léonard,Match Report,
1,Sun,8/7/2022,15:00 (16:00),Angers,1.5,0–0,1.5,Nantes,"12,000",Stade Raymond Kopa,Hakim Ben El Hadj Salem,Match Report,
1,Sun,8/7/2022,15:00 (16:00),Lille,2.4,4–1,0.6,Auxerre,"32,292",Decathlon Arena - Stade Pierre-Mauroy,Eric Wattellier,Match Report,
1,Sun,8/7/2022,15:00 (16:00),Montpellier,1.7,3–2,2,Troyes,"12,003",Stade Raoul-Barrière,Pierre Gaillouste,Match Report,
1,Sun,8/7/2022,17:05 (18:05),Rennes,1.8,0–1,1.1,Lorient,"28,177",Roazhon Park,Bastien Dechepy,Match Report,
1,Sun,8/7/2022,20:45 (21:45),Marseille,2.1,4–1,0.9,Reims,"62,738",Orange Vélodrome,Jérôme Brisard,Match Report,
,,,,,,,,,,,,,
2,Fri,8/12/2022,21:00 (22:00),Nantes,1,1–1,2,Lille,"30,689",Stade de la Beaujoire - Louis Fonteneau,Bastien Dechepy,Match Report,
2,Sat,8/13/2022,17:00 (18:00),Monaco,1.8,1–1,2.1,Rennes,"8,000",Stade Louis II.,Jérémie Pignard,Match Report,
2,Sat,8/13/2022,21:00 (22:00),Paris S-G,3.2,5–2,0.9,Montpellier,"46,000",Parc des Princes,Willy Delajod,Match Report,
2,Sun,8/14/2022,15:00 (16:00),Ajaccio,0.5,0–0,1.4,Lens,"9,070",Stade François Coty,Stéphanie Frappart,Match Report,
2,Sun,8/14/2022,15:00 (16:00),Reims,2.7,2–4,1.9,Clermont Foot,"9,456",Stade Auguste-Delaune,Johan Hamel,Match Report,
2,Sun,8/14/2022,15:00 (16:00),Auxerre,0.8,2–2,1.4,Angers,"15,577",Stade de l'Abbé Deschamps,Ruddy Buquet,Match Report,
2,Sun,8/14/2022,15:00 (16:00),Troyes,1,0–3,1.5,Toulouse,"6,000",Stade de l'Aube,Marc Bollengier,Match Report,
2,Sun,8/14/2022,17:05 (18:05),Nice,1.6,1–1,0.9,Strasbourg,"24,707",Stade de Nice,Hakim Ben El Hadj Salem,Match Report,
2,Sun,8/14/2022,20:45 (21:45),Brest,2,1–1,0.7,Marseille,"13,709",Stade Francis-Le Blé,Jeremy Stinat,Match Report,
,,,,,,,,,,,,,
3,Fri,8/19/2022,21:00 (22:00),Lyon,2.6,4–1,1,Troyes,"43,000",Matmut Stadium de Gerland,Eric Wattellier,Match Report,
3,Sat,8/20/2022,17:00 (18:00),Monaco,1.6,1–4,2.5,Lens,"8,700",Stade Louis II.,Willy Delajod,Match Report,
3,Sat,8/20/2022,21:00 (22:00),Marseille,1.1,2–1,2.2,Nantes,"63,147",Orange Vélodrome,Jérémie Pignard,Match Report,
3,Sun,8/21/2022,13:00 (14:00),Strasbourg,1.2,1–1,2,Reims,"25,175",Stade de la Meinau,Ruddy Buquet,Match Report,
3,Sun,8/21/2022,15:00 (16:00),Montpellier,1,1–2,1.3,Auxerre,"13,137",Stade de la Mosson,Mathieu Vernice,Match Report,
3,Sun,8/21/2022,15:00 (16:00),Clermont Foot,0.7,1–0,1.4,Nice,"11,500",Stade Gabriel Montpied,Thomas Léonard,Match Report,
3,Sun,8/21/2022,15:00 (16:00),Angers,0.6,1–3,1.8,Brest,"8,735",Stade Raymond Kopa,Jérôme Brisard,Match Report,
3,Sun,8/21/2022,15:00 (16:00),Toulouse,1.8,2–2,2.5,Lorient,"23,862",Stadium Municipal,Gustavo Correia,Match Report,
3,Sun,8/21/2022,17:05 (18:05),Rennes,1.2,2–1,1.4,Ajaccio,"27,592",Roazhon Park,Hakim Ben El Hadj Salem,Match Report,
3,Sun,8/21/2022,20:45 (21:45),Lille,1.7,1–7,3.4,Paris S-G,"47,526",Decathlon Arena - Stade Pierre-Mauroy,Clément Turpin,Match Report,
,,,,,,,,,,,,,
4,Fri,8/26/2022,21:00 (22:00),Ajaccio,1.5,1–3,1.7,Lille,"9,070",Stade François Coty,Thomas Léonard,Match Report,
4,Sat,8/27/2022,17:00 (18:00),Auxerre,0.7,1–0,1.3,Strasbourg,"16,059",Stade de l'Abbé Deschamps,Johan Hamel,Match Report,
4,Sat,8/27/2022,21:00 (22:00),Lens,1.3,2–1,1,Rennes,"37,848",Stade Bollaert-Delelis,Jérôme Brisard,Match Report,
4,Sun,8/28/2022,13:00 (14:00),Nantes,1.5,3–1,0.6,Toulouse,"26,574",Stade de la Beaujoire - Louis Fonteneau,Mathieu Vernice,Match Report,
4,Sun,8/28/2022,15:00 (16:00),Lorient,2.9,2–1,0.6,Clermont Foot,"10,591",Stade Yves Allainmat - Le Moustoir,Willy Delajod,Match Report,
4,Sun,8/28/2022,15:00 (16:00),Brest,0.2,0–7,2.5,Montpellier,"11,546",Stade Francis-Le Blé,Marc Bollengier,Match Report,
4,Sun,8/28/2022,15:00 (16:00),Nice,1,0–3,1.4,Marseille,"31,418",Stade de Nice,François Letexier,Match Report,
