,Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,Team1,Team2,Result
0,Group stage,1.0,Tue,9/17/2019,18:55 (19:55),Lyon fr,1.6,1–1,1.0,ru Zenit,"47,201",Groupama Stadium,Michael Oliver,Match Report,,1,1,0
1,Group stage,1.0,Tue,9/17/2019,18:55 (19:55),Inter it,1.4,1–1,1.0,cz Slavia Prague,"50,128",Stadio Giuseppe Meazza,Ruddy Buquet,Match Report,,1,1,0
2,Group stage,1.0,Tue,9/17/2019,20:00 (22:00),Chelsea eng,2.8,0–1,1.0,es Valencia,"39,469",Stamford Bridge,Cüneyt Çakιr,Match Report,,0,1,2
3,Group stage,1.0,Tue,9/17/2019,20:00 (22:00),Benfica pt,1.8,1–2,1.0,de RB Leipzig,"46,460",Estádio do Sport Lisboa e Benfica,Tasos Sidiropoulos,Match Report,,1,2,2
4,Group stage,1.0,Tue,9/17/2019,21:00 (22:00),Dortmund de,3.4,0–0,0.4,es Barcelona,"66,099",Signal Iduna Park,Ovidiu Hațegan,Match Report,,0,0,0
5,Group stage,1.0,Tue,9/17/2019,21:00 (22:00),RB Salzburg at,4.3,6–2,0.7,be Genk,"29,520",Red Bull Arena,Felix Zwayer,Match Report,,6,2,1
6,Group stage,1.0,Tue,9/17/2019,21:00 (22:00),Ajax nl,1.5,3–0,2.0,fr Lille,"51,441",Johan Cruyff ArenA,Srđan Jovanović,Match Report,,3,0,1
7,Group stage,1.0,Tue,9/17/2019,21:00 (22:00),Napoli it,1.8,2–0,0.7,eng Liverpool,"38,878",Stadio San Paolo,Felix Brych,Match Report,,2,0,1
8,Group stage,1.0,Wed,9/18/2019,18:55 (19:55),Club Brugge be,1.7,0–0,0.6,tr Galatasaray,"26,616",Jan Breydelstadion,Slavko Vinčič,Match Report,,0,0,0
9,Group stage,1.0,Wed,9/18/2019,19:55,Olympiacos gr,1.7,2–2,1.7,eng Tottenham,"31,001",Stadio Georgios Karaiskáki,Gianluca Rocchi,Match Report,,2,2,0
10,Group stage,1.0,Wed,9/18/2019,21:00 (22:00),Atlético Madrid es,2.3,2–2,1.1,it Juventus,"66,283",Estadio Wanda Metropolitano,Danny Makkelie,Match Report,,2,2,0
11,Group stage,1.0,Wed,9/18/2019,21:00 (22:00),Paris S-G fr,1.7,3–0,0.6,es Real Madrid,"46,361",Parc des Princes,Anthony Taylor,Match Report,,3,0,1
12,Group stage,1.0,Wed,9/18/2019,21:00 (22:00),Bayern Munich de,4.3,3–0,0.3,rs Red Star,"70,000",Allianz Arena,Bobby Madden,Match Report,,3,0,1
13,Group stage,1.0,Wed,9/18/2019,21:00 (22:00),Dinamo Zagreb hr,2.7,4–0,1.8,it Atalanta,"28,863",Stadion Maksimir,Jesús Gil,Match Report,,4,0,1
14,Group stage,1.0,Wed,9/18/2019,21:00 (22:00),Leverkusen de,1.5,1–2,0.9,ru Loko Moscow,"26,592",BayArena,Paweł Raczkowski,Match Report,,1,2,2
15,Group stage,1.0,Wed,9/18/2019,22:00,Shakhtar ua,0.9,0–3,2.5,eng Manchester City,"36,675",Oblasny SportKomplex Metalist,Artur Soares Dias,Match Report,,0,3,2
17,Group stage,2.0,Tue,10/1/2019,18:55 (19:55),Atalanta it,2.5,1–2,1.5,ua Shakhtar,"26,022",Stadio Giuseppe Meazza,Tobias Stieler,Match Report,,1,2,2
18,Group stage,2.0,Tue,10/1/2019,18:55 (19:55),Real Madrid es,2.3,2–2,1.4,be Club Brugge,"65,112",Estadio Santiago Bernabéu,Georgi Kabakov,Match Report,,2,2,0
19,Group stage,2.0,Tue,10/1/2019,20:00 (22:00),Manchester City eng,3.6,2–0,0.1,hr Dinamo Zagreb,"49,046",Etihad Stadium,Serdar Gözübüyük,Match Report,,2,0,1
