Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Group stage,1,Tue,9/14/2021,18:45 (19:45),Sevilla es,1.5,1–1,2.9,at RB Salzburg,"18,373",Estadio Ramón Sánchez Pizjuán,Aliaksei Kulbakou,Match Report,
Group stage,1,Tue,9/14/2021,18:45 (19:45),Young Boys ch,1.4,2–1,0.5,eng Manchester Utd,"31,120",Wankdorfstadion,François Letexier,Match Report,
Group stage,1,Tue,9/14/2021,20:00 (22:00),Chelsea eng,0.7,1–0,0.9,ru Zenit,"39,252",Stamford Bridge,Bartosz Frankowski,Match Report,
Group stage,1,Tue,9/14/2021,21:00 (22:00),Villarreal es,2.3,2–2,1.3,it Atalanta,"12,916",Estadio de la Cerámica,Clément Turpin,Match Report,
Group stage,1,Tue,9/14/2021,21:00 (22:00),Barcelona es,0.2,0–3,2.7,de Bayern Munich,"39,737",Camp Nou,Michael Oliver,Match Report,
Group stage,1,Tue,9/14/2021,21:00 (22:00),Lille fr,1.6,0–0,0.1,de Wolfsburg,"34,314",Stade Pierre-Mauroy,Danny Makkelie,Match Report,
Group stage,1,Tue,9/14/2021,21:00 (22:00),Malmö se,0.4,0–3,3.5,it Juventus,"5,832",Eleda Stadion,Artur Dias,Match Report,
Group stage,1,Tue,9/14/2021,22:00,Dynamo Kyiv ua,0.6,0–0,1,pt Benfica,"21,657",NSK Olimpijs'kyj,Anthony Taylor,Match Report,
Group stage,1,Wed,9/15/2021,19:45,Sheriff Tiraspol md,1,2–0,0.8,ua Shakhtar,"5,205",Bolshaya Sportivnaya Arena,Deniz Aytekin,Match Report,
Group stage,1,Wed,9/15/2021,19:45,Beşiktaş tr,1.2,1–2,3,de Dortmund,"22,445",Vodafone Arena,Antonio Matéu Lahoz,Match Report,
Group stage,1,Wed,9/15/2021,20:00 (22:00),Sporting CP pt,0.7,1–5,3.1,nl Ajax,"20,382",Estádio José Alvalade,José Sánchez,Match Report,
Group stage,1,Wed,9/15/2021,20:00 (22:00),Manchester City eng,2.3,6–3,1.3,de RB Leipzig,"38,062",Etihad Stadium,Serdar Gözübüyük,Match Report,
Group stage,1,Wed,9/15/2021,20:00 (22:00),Liverpool eng,2.5,3–2,1.6,it Milan,"51,445",Anfield,Szymon Marciniak,Match Report,
Group stage,1,Wed,9/15/2021,21:00 (22:00),Inter it,2.4,0–1,1.2,es Real Madrid,"37,082",Stadio Giuseppe Meazza,Daniel Siebert,Match Report,
Group stage,1,Wed,9/15/2021,21:00 (22:00),Club Brugge be,1.3,1–1,1.4,fr Paris S-G,"27,546",Jan Breydelstadion,Sandro Schärer,Match Report,
Group stage,1,Wed,9/15/2021,21:00 (22:00),Atlético Madrid es,0.3,0–0,1.6,pt Porto,"40,098",Estadio Wanda Metropolitano,Ovidiu Hațegan,Match Report,
,,,,,,,,,,,,,,
Group stage,2,Tue,9/28/2021,18:45 (19:45),Ajax nl,3.5,2–0,0.9,tr Beşiktaş,"52,628",Johan Cruyff ArenA,Benoît Bastien,Match Report,
Group stage,2,Tue,9/28/2021,19:45,Shakhtar ua,1.3,0–0,1,it Inter,"26,170",NSK Olimpijs'kyj,István Kovács,Match Report,
Group stage,2,Tue,9/28/2021,20:00 (22:00),Porto pt,0.9,1–5,3.4,eng Liverpool,"23,520",Estádio Do Dragão,Sergey Karasev,Match Report,
Group stage,2,Tue,9/28/2021,21:00 (22:00),Real Madrid es,3.1,1–2,0.4,md Sheriff Tiraspol,"24,522",Estadio Santiago Bernabéu,Lawrence Visser,Match Report,
Group stage,2,Tue,9/28/2021,21:00 (22:00),RB Leipzig de,1.3,1–2,1.4,be Club Brugge,"23,500",Red Bull Arena,Slavko Vinčič,Match Report,
Group stage,2,Tue,9/28/2021,21:00 (22:00),Dortmund de,0.3,1–0,0.4,pt Sporting CP,"25,000",Signal Iduna Park,Srdjan Stojanovic,Match Report,
Group stage,2,Tue,9/28/2021,21:00 (22:00),Paris S-G fr,0.4,2–0,1.9,eng Manchester City,"37,350",Parc des Princes,Carlos del Cerro,Match Report,
