Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Group stage,1,Thu,9/19/2019,18:55 (19:55),Rennes fr,1.3,1–1,1.1,sct Celtic,"27,026",Roazhon Park,José Sánchez,Match Report,
Group stage,1,Thu,9/19/2019,18:55 (19:55),PSV Eindhoven nl,0.9,3–2,1.7,pt Sporting CP,"30,000",Philips Stadion,Ivan Kružliak,Match Report,
Group stage,1,Thu,9/19/2019,18:55 (19:55),Basel ch,2.6,5–0,1.9,ru Krasnodar,"14,127",St. Jakob-Park,Mattias Gestranius,Match Report,
Group stage,1,Thu,9/19/2019,18:55 (19:55),FC Copenhagen dk,1,1–0,0.3,ch Lugano,"18,240",Telia Parken,Fábio Costa,Match Report,
Group stage,1,Thu,9/19/2019,18:55 (19:55),Standard Liège be,0.7,2–0,1.2,pt Vitória,"13,477",Stade Maurice Dufrasne,Sergey Ivanov,Match Report,
Group stage,1,Thu,9/19/2019,18:55 (19:55),Getafe es,1.2,1–0,0.3,tr Trabzonspor,"5,786",Coliseum Alfonso Pérez,Matej Jug,Match Report,
Group stage,1,Thu,9/19/2019,18:55 (19:55),Eint Frankfurt de,1.8,0–3,3.2,eng Arsenal,"47,000",Deutsche Bank Park,Davide Massa,Match Report,
Group stage,1,Thu,9/19/2019,18:55 (19:55),LASK at,1.9,1–0,0.3,no Rosenborg,"12,179",Linzer Stadion,Donatas Rumšas,Match Report,
Group stage,1,Thu,9/19/2019,19:55,CFR Cluj ro,2.1,2–1,2,it Lazio,"9,222",Stadionul Dr. Constantin Rădulescu,Daniel Stefański,Match Report,
Group stage,1,Thu,9/19/2019,19:55,APOEL cy,2.4,3–4,1.7,lu F91 Dudelange,"9,313",Neo GSP,Dumitru Muntean,Match Report,
Group stage,1,Thu,9/19/2019,19:55,Dynamo Kyiv ua,1.5,1–0,0.4,se Malmö,"17,159",NSK Olimpijs'kyj,Aleksandar Stavrev,Match Report,
Group stage,1,Thu,9/19/2019,20:00 (22:00),Wolves eng,1.1,0–1,0.7,pt Braga,"28,314",Molineux Stadium,Jakob Kehlet,Match Report,
Group stage,1,Thu,9/19/2019,20:00 (22:00),Porto pt,1.6,2–1,1,ch Young Boys,"32,929",Estádio Do Dragão,Andris Treimanis,Match Report,
Group stage,1,Thu,9/19/2019,20:00 (22:00),Manchester Utd eng,2.8,1–0,0.3,kz Astana FK,"50,783",Old Trafford,François Letexier,Match Report,
Group stage,1,Thu,9/19/2019,20:00 (22:00),Rangers sct,2.6,1–0,1.1,nl Feyenoord,"46,858",Ibrox Stadium,Antonio Matéu Lahoz,Match Report,
Group stage,1,Thu,9/19/2019,20:55 (19:55),Qarabağ Ağdam az,0.7,0–3,1.7,es Sevilla,"30,826",Tofiq Bəhramov adına Respublika stadionu,Yevhen Aranovskyi,Match Report,
Group stage,1,Thu,9/19/2019,21:00 (22:00),Espanyol es,1.7,1–1,0.2,hu Ferencváros,"18,125",RCDE Stadium,Nikola Dabanović,Match Report,
Group stage,1,Thu,9/19/2019,21:00 (22:00),Wolfsburg de,1.3,3–1,0.7,ua FC Oleksandriya,"10,112",Volkswagen Arena,Halis Özkahya,Match Report,
Group stage,1,Thu,9/19/2019,21:00 (22:00),M'Gladbach de,1.7,0–4,1.9,at Wolfsberger AC,"34,846",Stadion im Borussia-Park,Tamás Bognár,Match Report,
Group stage,1,Thu,9/19/2019,21:00 (22:00),Partizan rs,3.1,2–2,1.3,nl AZ Alkmaar,"22,564",Stadion Partizana,Marco Guida,Match Report,
Group stage,1,Thu,9/19/2019,21:00 (22:00),Slovan Bratislava sk,2.6,4–2,1.8,tr Beşiktaş,"5,273",Štadión Tehelné pole,Kristo Tohver,Match Report,
Group stage,1,Thu,9/19/2019,21:00 (22:00),Gent be,1.1,3–2,0.6,fr Saint-Étienne,"14,928",GHELAMCO-arena,Roi Reinshreiber,Match Report,
Group stage,1,Thu,9/19/2019,21:00 (22:00),Roma it,3.2,4–0,0.6,tr Başakşehir,"21,348",Stadio Olimpico,Javier Estrada,Match Report,
Group stage,1,Thu,9/19/2019,22:00,Ludogorets bg,2.5,5–1,0.9,ru CSKA Moscow,"8,423",Huvepharma Arena,Irfan Peljto,Match Report,
,,,,,,,,,,,,,,
Group stage,2,Thu,10/3/2019,17:55 (19:55),Braga pt,1.1,2–2,1.1,sk Slovan Bratislava,"9,077",Estádio Municipal de Braga,Adrien Jaccottet,Match Report,
Group stage,2,Thu,10/3/2019,18:55 (19:55),Feyenoord nl,1.3,2–0,3.4,pt Porto,"41,000",Stadion Feijenoord,Sergey Karasev,Match Report,
Group stage,2,Thu,10/3/2019,18:55 (19:55),Wolfsberger AC at,0.7,1–1,1.4,it Roma,"11,169",Merkur Arena,Tiago Martins,Match Report,
Group stage,2,Thu,10/3/2019,18:55 (19:55),Ferencváros hu,1.2,0–3,1.3,bg Ludogorets,"16,163",Groupama Arena,Bartosz Frankowski,Match Report,
Group stage,2,Thu,10/3/2019,18:55 (19:55),AZ Alkmaar nl,1,0–0,0.7,eng Manchester Utd,"13,863",Cars Jeans Stadion,Gediminas Mažeika,Match Report,
Group stage,2,Thu,10/3/2019,18:55 (19:55),Saint-Étienne fr,0.5,1–1,0.6,de Wolfsburg,"27,000",Stade Geoffroy-Guichard,Craig Pawson,Match Report,
Group stage,2,Thu,10/3/2019,18:55 (19:55),Young Boys ch,1.8,2–1,0.7,sct Rangers,"26,348",Stade de Suisse Wankdorf Bern,Manuel Schüttengruber,Match Report,
Group stage,2,Thu,10/3/2019,19:55,Başakşehir tr,1.3,1–1,1.2,de M'Gladbach,"6,000",Başakşehir Fatih Terim Stadium,Stuart Attwell,Match Report,
Group stage,2,Thu,10/3/2019,19:55,FC Oleksandriya ua,1.8,1–1,0.8,be Gent,"7,588",L'viv Arena,Jens Maae,Match Report,
Group stage,2,Thu,10/3/2019,19:55,Beşiktaş tr,0.9,0–1,0.8,eng Wolves,"22,670",Vodafone Arena,Harald Lechner,Match Report,
Group stage,2,Thu,10/3/2019,19:55,CSKA Moscow ru,0.7,0–2,1.9,es Espanyol,"22,288",VEB Arena,Ali Palabıyık,Match Report,
Group stage,2,Thu,10/3/2019,20:00 (22:00),Vitória pt,0.8,0–1,1.7,de Eint Frankfurt,"27,000",Estádio Dom Afonso Henriques,Radu Petrescu,Match Report,
Group stage,2,Thu,10/3/2019,20:00 (22:00),Celtic sct,1.8,2–0,0.4,ro CFR Cluj,"56,172",Celtic Park,Daniel Siebert,Match Report,
Group stage,2,Thu,10/3/2019,20:00 (22:00),Sporting CP pt,0.9,2–1,1.8,at LASK,"31,225",Estádio José Alvalade,Alain Durieux,Match Report,
Group stage,2,Thu,10/3/2019,20:00 (22:00),Arsenal eng,4.9,4–0,0.6,be Standard Liège,"58,725",Emirates Stadium,Sandro Schärer,Match Report,
Group stage,2,Thu,10/3/2019,20:50 (17:50),Astana FK kz,0.3,1–2,2.6,rs Partizan,"20,137",Astana Arena,Mohammed Al Hakim,Match Report,
Group stage,2,Thu,10/3/2019,21:00 (22:00),Lugano ch,1.1,0–0,1.1,ua Dynamo Kyiv,"1,281",Kybunpark,Karim Abed,Match Report,
Group stage,2,Thu,10/3/2019,21:00 (22:00),Malmö se,0.8,1–1,0.1,dk FC Copenhagen,"19,884",Eleda Stadion,Deniz Aytekin,Match Report,
Group stage,2,Thu,10/3/2019,21:00 (22:00),F91 Dudelange lu,1.6,1–4,3.8,az Qarabağ Ağdam,"3,005",Stade Josy Barthel,John Beaton,Match Report,
Group stage,2,Thu,10/3/2019,21:00 (22:00),Rosenborg no,2.1,1–4,2.3,nl PSV Eindhoven,"10,296",Lerkendal Stadion,Halil Meler,Match Report,
Group stage,2,Thu,10/3/2019,21:00 (22:00),Sevilla es,2.2,1–0,0.1,cy APOEL,"30,008",Estadio Ramón Sánchez Pizjuán,Bas Nijhuis,Match Report,
Group stage,2,Thu,10/3/2019,21:00 (22:00),Lazio it,0.5,2–1,0.9,fr Rennes,"13,072",Stadio Olimpico,Sergiy Boyko,Match Report,
Group stage,2,Thu,10/3/2019,22:00,Trabzonspor tr,1,2–2,0.4,ch Basel,"23,867",Hüseyin Avni Aker Stadyumu,Marco Di Bello,Match Report,
Group stage,2,Thu,10/3/2019,22:00,Krasnodar ru,1.9,1–2,2.4,es Getafe,"20,035",Krasnodar Stadium,Ivan Bebek,Match Report,
,,,,,,,,,,,,,,
Group stage,3,Thu,10/24/2019,17:55 (19:55),Porto pt,1.1,1–1,1,sct Rangers,"31,307",Estádio Do Dragão,Nikola Dabanović,Match Report,
Group stage,3,Thu,10/24/2019,18:55 (19:55),Partizan rs,0.6,0–1,1.4,eng Manchester Utd,"25,627",Stadion Partizana,Javier Estrada,Match Report,
Group stage,3,Thu,10/24/2019,18:55 (19:55),Young Boys ch,2.3,2–0,0.4,nl Feyenoord,"27,641",Stade de Suisse Wankdorf Bern,Jakob Kehlet,Match Report,
Group stage,3,Thu,10/24/2019,18:55 (19:55),AZ Alkmaar nl,6.8,6–0,0.3,kz Astana FK,"8,123",Cars Jeans Stadion,Enea Jorgji,Match Report,
Group stage,3,Thu,10/24/2019,18:55 (19:55),Slovan Bratislava sk,0.8,1–2,1.3,eng Wolves,"20,333",Štadión Tehelné pole,Yevhen Aranovskyi,Match Report,
Group stage,3,Thu,10/24/2019,18:55 (19:55),Saint-Étienne fr,1,1–1,0.2,ua FC Oleksandriya,"28,573",Stade Geoffroy-Guichard,Espen Andreas Eskås,Match Report,
Group stage,3,Thu,10/24/2019,18:55 (19:55),Gent be,1.6,2–2,2.4,de Wolfsburg,"14,000",GHELAMCO-arena,Sergey Ivanov,Match Report,
Group stage,3,Thu,10/24/2019,18:55 (19:55),Roma it,1.4,1–1,2.5,de M'Gladbach,"29,037",Stadio Olimpico,William Collum,Match Report,
Group stage,3,Thu,10/24/2019,19:55,Ludogorets bg,0.4,0–1,0.7,es Espanyol,"10,334",Huvepharma Arena,Əliyar Ağayev,Match Report,
Group stage,3,Thu,10/24/2019,19:55,CSKA Moscow ru,1.7,0–1,1.6,hu Ferencváros,"18,518",VEB Arena,Pavel Orel,Match Report,
Group stage,3,Thu,10/24/2019,19:55,Başakşehir tr,1,1–0,0.8,at Wolfsberger AC,"5,000",Başakşehir Fatih Terim Stadium,Irfan Peljto,Match Report,
Group stage,3,Thu,10/24/2019,19:55,Beşiktaş tr,1.8,1–2,2.1,pt Braga,"20,956",Vodafone Arena,Alejandro Hernández,Match Report,
Group stage,3,Thu,10/24/2019,20:00 (22:00),Arsenal eng,2.3,3–2,1.7,pt Vitória,"60,195",Emirates Stadium,Serdar Gözübüyük,Match Report,
Group stage,3,Thu,10/24/2019,20:00 (22:00),Sporting CP pt,0.8,1–0,0.8,no Rosenborg,"27,671",Estádio José Alvalade,Lawrence Visser,Match Report,
Group stage,3,Thu,10/24/2019,20:00 (22:00),Celtic sct,1.1,2–1,1.5,it Lazio,"56,172",Celtic Park,Ivan Bebek,Match Report,
Group stage,3,Thu,10/24/2019,20:55 (19:55),Qarabağ Ağdam az,1.8,2–2,0.6,cy APOEL,"30,824",Tofiq Bəhramov adına Respublika stadionu,Filip Glova,Match Report,
Group stage,3,Thu,10/24/2019,21:00 (22:00),PSV Eindhoven nl,1.1,0–0,1.2,at LASK,"29,000",Philips Stadion,Chris Kavanagh,Match Report,
Group stage,3,Thu,10/24/2019,21:00 (22:00),Eint Frankfurt de,1.6,2–1,1,be Standard Liège,"47,000",Deutsche Bank Park,Daniel Stefański,Match Report,
Group stage,3,Thu,10/24/2019,21:00 (22:00),Malmö se,1.7,2–1,0.8,ch Lugano,"16,789",Eleda Stadion,Robert Harvey,Match Report,
Group stage,3,Thu,10/24/2019,21:00 (22:00),Sevilla es,2.4,3–0,0.1,lu F91 Dudelange,"26,165",Estadio Ramón Sánchez Pizjuán,Anastasios Papapetrou,Match Report,
Group stage,3,Thu,10/24/2019,21:00 (22:00),Rennes fr,1.5,0–1,1.5,ro CFR Cluj,"27,330",Roazhon Park,Aleksey Eskov,Match Report,
Group stage,3,Thu,10/24/2019,21:00 (22:00),Getafe es,1.1,0–1,0.5,ch Basel,"6,213",Coliseum Alfonso Pérez,Jérôme Brisard,Match Report,
Group stage,3,Thu,10/24/2019,22:00,Dynamo Kyiv ua,0.8,1–1,1.1,dk FC Copenhagen,"21,202",NSK Olimpijs'kyj,Halil Meler,Match Report,
Group stage,3,Thu,10/24/2019,22:00,Trabzonspor tr,1.2,0–2,2.4,ru Krasnodar,"26,405",Hüseyin Avni Aker Stadyumu,Harald Lechner,Match Report,
,,,,,,,,,,,,,,
Group stage,4,Wed,11/6/2019,15:50 (18:50),Vitória pt,1,1–1,1.2,eng Arsenal,"17,822",Estádio Dom Afonso Henriques,Halis Özkahya,Match Report,
Group stage,4,Thu,11/7/2019,18:55 (20:55),Rosenborg no,1,0–2,0.8,pt Sporting CP,"11,018",Lerkendal Stadion,Kevin Clancy,Match Report,
Group stage,4,Thu,11/7/2019,18:55 (20:55),F91 Dudelange lu,1.6,2–5,4.5,es Sevilla,"2,848",Stade Josy Barthel,Vilhjálmur Thórarinsson,Match Report,
Group stage,4,Thu,11/7/2019,18:55 (20:55),FC Copenhagen dk,0.7,1–1,1.3,ua Dynamo Kyiv,"23,166",Telia Parken,Tamás Bognár,Match Report,
Group stage,4,Thu,11/7/2019,18:55 (20:55),LASK at,2.5,4–1,1.8,nl PSV Eindhoven,"12,658",Linzer Stadion,Radu Petrescu,Match Report,
Group stage,4,Thu,11/7/2019,18:55 (20:55),Basel ch,2,2–1,2.5,es Getafe,"26,298",St. Jakob-Park,Sergiy Boyko,Match Report,
Group stage,4,Thu,11/7/2019,18:55 (20:55),Lugano ch,1.7,0–0,0.2,se Malmö,"1,875",Kybunpark,Giorgi Kruashvili,Match Report,
Group stage,4,Thu,11/7/2019,18:55 (20:55),Lazio it,1.6,1–2,1.3,sct Celtic,"26,155",Stadio Olimpico,Tobias Stieler,Match Report,
Group stage,4,Thu,11/7/2019,18:55 (20:55),Standard Liège be,1.9,2–1,2.2,de Eint Frankfurt,"20,000",Stade Maurice Dufrasne,Matej Jug,Match Report,
Group stage,4,Thu,11/7/2019,19:55 (20:55),CFR Cluj ro,0.7,1–0,2.2,fr Rennes,"11,067",Stadionul Dr. Constantin Rădulescu,Tiago Martins,Match Report,
Group stage,4,Thu,11/7/2019,19:55 (20:55),APOEL cy,0.9,2–1,1.7,az Qarabağ Ağdam,"9,432",Neo GSP,Manuel Schüttengruber,Match Report,
Group stage,4,Thu,11/7/2019,20:00 (23:00),Braga pt,2.1,3–1,0.6,tr Beşiktaş,"8,833",Estádio Municipal de Braga,Gediminas Mažeika,Match Report,
Group stage,4,Thu,11/7/2019,20:00 (23:00),Wolves eng,2.8,1–0,0.4,sk Slovan Bratislava,"29,789",Molineux Stadium,Bas Nijhuis,Match Report,
Group stage,4,Thu,11/7/2019,20:00 (23:00),Manchester Utd eng,3,3–0,0.1,rs Partizan,"62,955",Old Trafford,Mattias Gestranius,Match Report,
Group stage,4,Thu,11/7/2019,20:00 (23:00),Rangers sct,0.4,2–0,0.7,pt Porto,"49,645",Ibrox Stadium,Davide Massa,Match Report,
Group stage,4,Thu,11/7/2019,20:55,Krasnodar ru,1.4,3–1,0.4,tr Trabzonspor,"21,669",Krasnodar Stadium,Benoît Bastien,Match Report,
Group stage,4,Thu,11/7/2019,21:00 (23:00),Feyenoord nl,1.3,1–1,2.4,ch Young Boys,"45,022",Stadion Feijenoord,Paweł Gil,Match Report,
Group stage,4,Thu,11/7/2019,21:00 (23:00),Ferencváros hu,1.1,0–0,1.8,ru CSKA Moscow,"18,153",Groupama Arena,Aleksandar Stavrev,Match Report,
Group stage,4,Thu,11/7/2019,21:00 (23:00),Wolfsburg de,1.6,1–3,0.6,be Gent,"12,000",Volkswagen Arena,Massimiliano Irrati,Match Report,
Group stage,4,Thu,11/7/2019,21:00 (23:00),M'Gladbach de,1.2,2–1,1.1,it Roma,"44,500",Stadion im Borussia-Park,Jesús Gil,Match Report,
Group stage,4,Thu,11/7/2019,21:00 (23:00),Wolfsberger AC at,0.8,0–3,3.1,tr Başakşehir,"5,286",Merkur Arena,Sandro Schärer,Match Report,
Group stage,4,Thu,11/7/2019,21:00 (23:00),Espanyol es,4,6–0,0,bg Ludogorets,"13,963",RCDE Stadium,François Letexier,Match Report,
Group stage,4,Thu,11/7/2019,21:50 (18:50),Astana FK kz,0.2,0–5,3.2,nl AZ Alkmaar,"11,584",Astana Arena,Mads-Kristoffer Kristoffersen,Match Report,
Group stage,4,Thu,11/7/2019,22:00 (23:00),FC Oleksandriya ua,1.4,2–2,1.2,fr Saint-Étienne,"6,361",L'viv Arena,João Pinheiro,Match Report,
,,,,,,,,,,,,,,
Group stage,5,Thu,11/28/2019,17:55 (20:55),Braga pt,1.1,3–3,1.9,eng Wolves,"12,058",Estádio Municipal de Braga,Aliaksei Kulbakou,Match Report,
Group stage,5,Thu,11/28/2019,18:50,Trabzonspor tr,0.6,0–1,1.8,es Getafe,"11,465",Hüseyin Avni Aker Stadyumu,Andris Treimanis,Match Report,
Group stage,5,Thu,11/28/2019,18:50,Krasnodar ru,1.9,1–0,0.7,ch Basel,"22,826",Krasnodar Stadium,Bobby Madden,Match Report,
Group stage,5,Thu,11/28/2019,18:55 (20:55),Feyenoord nl,2.3,2–2,0.8,sct Rangers,"47,500",Stadion Feijenoord,Damir Skomina,Match Report,
Group stage,5,Thu,11/28/2019,18:55 (20:55),Saint-Étienne fr,1.4,0–0,0.5,be Gent,"25,315",Stade Geoffroy-Guichard,Irfan Peljto,Match Report,
Group stage,5,Thu,11/28/2019,18:55 (20:55),Wolfsberger AC at,1.1,0–1,1.5,de M'Gladbach,"12,073",Merkur Arena,Serdar Gözübüyük,Match Report,
