Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Group stage,1,Wed,9/15/2021,17:30,Spartak Moscow ru,2,0–1,1.3,pl Legia Warsaw,"6,832",Stadion Akademii imeni Cherenkova № 4,Nikola Dabanović,Match Report,
Group stage,1,Thu,9/16/2021,18:45 (19:45),Betis es,2.3,4–3,2.6,sct Celtic,"30,893",Estadio Benito Villamarín,Fran Jović,Match Report,
Group stage,1,Thu,9/16/2021,18:45 (19:45),Rapid Wien at,0.5,0–1,1.4,be Genk,"18,400",Gerhard-Hanappi-Stadion,Kristo Tohver,Match Report,
Group stage,1,Thu,9/16/2021,18:45 (19:45),Red Star rs,1.3,2–1,0.9,pt Braga,"24,671",Stadion Rajko Mitić,John Beaton,Match Report,
Group stage,1,Thu,9/16/2021,18:45 (19:45),Leverkusen de,2.2,2–1,1.3,hu Ferencváros,"11,013",BayArena,Andris Treimanis,Match Report,
Group stage,1,Thu,9/16/2021,18:45 (19:45),Midtjylland dk,1.8,1–1,0.5,bg Ludogorets,"6,568",MCH Arena,Aghayev Aliyev,Match Report,
Group stage,1,Thu,9/16/2021,18:45 (19:45),Dinamo Zagreb hr,0.4,0–2,1.9,eng West Ham,"12,344",Stadion Maksimir,Ruddy Buquet,Match Report,
Group stage,1,Thu,9/16/2021,19:45,Loko Moscow ru,0.2,1–1,2.4,fr Marseille,"8,100",RZD Arena,Irfan Peljto,Match Report,
Group stage,1,Thu,9/16/2021,19:45,Galatasaray tr,0.9,1–0,1.2,it Lazio,"15,353",Ali Sami Yen Stadyumu,Matej Jug,Match Report,
Group stage,1,Thu,9/16/2021,20:00 (22:00),Rangers sct,0.6,0–2,1.1,fr Lyon,"44,906",Ibrox Stadium,Andreas Ekberg,Match Report,
Group stage,1,Thu,9/16/2021,20:00 (22:00),Leicester City eng,0.7,2–2,2.1,it Napoli,"29,579",King Power Stadium,Tiago Martins,Match Report,
Group stage,1,Thu,9/16/2021,21:00 (22:00),PSV Eindhoven nl,1.5,2–2,1.3,es Real Sociedad,"23,135",Philips Stadion,William Collum,Match Report,
