Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,8/13/2021,21:00 (22:00),Valencia,1.2,1–0,1.4,Getafe,"9,868",Estadio de Mestalla,Jesús Gil,Match Report,
1,Sat,8/14/2021,19:30 (20:30),Mallorca,0.6,1–1,0.8,Betis,"6,279",Iberostar Estadi,Antonio Matéu Lahoz,Match Report,
1,Sat,8/14/2021,19:30 (20:30),Cádiz,0.6,1–1,1.1,Levante,"6,941",Estadio Nuevo Mirandilla,Santiago Jaime,Match Report,
1,Sat,8/14/2021,22:00 (23:00),Alavés,1.7,1–4,2.1,Real Madrid,"3,968",Estadio de Mendizorroza,César Soto,Match Report,
1,Sat,8/14/2021,22:00 (23:00),Osasuna,0.9,0–0,0.8,Espanyol,"6,715",Estadio El Sadar,Miguel Ángel Ortiz Arias,Match Report,
1,Sun,8/15/2021,17:30 (18:30),Celta Vigo,2.3,1–2,1.9,Atlético Madrid,"5,401",Estadio de Balaídos,José Luis Munuera,Match Report,
1,Sun,8/15/2021,20:00 (21:00),Barcelona,3.1,4–2,1.1,Real Sociedad,"20,384",Camp Nou,Alejandro Hernández,Match Report,
1,Sun,8/15/2021,22:15 (23:15),Sevilla,3.9,3–0,0.6,Rayo Vallecano,"13,962",Estadio Ramón Sánchez Pizjuán,Isidro Díaz de Mera,Match Report,
1,Mon,8/16/2021,20:00 (21:00),Villarreal,1.3,0–0,0.4,Granada,"7,837",Estadio de la Cerámica,Pablo González,Match Report,
1,Mon,8/16/2021,22:00 (23:00),Elche,1,0–0,0.7,Athletic Club,"9,145",Estadio Manuel Martínez Valero,Adrián Cordero,Match Report,
,,,,,,,,,,,,,
2,Fri,8/20/2021,21:00 (22:00),Betis,1.4,1–1,1.5,Cádiz,"23,745",Estadio Benito Villamarín,Valentín Pizarro,Match Report,
2,Sat,8/21/2021,17:00 (18:00),Alavés,0.7,0–1,1,Mallorca,"2,896",Estadio de Mendizorroza,Alejandro Muñíz,Match Report,
2,Sat,8/21/2021,19:30 (20:30),Espanyol,1.3,0–0,0.7,Villarreal,"11,095",RCDE Stadium,Jorge Figueroa,Match Report,
2,Sat,8/21/2021,19:30 (20:30),Granada,1,1–1,1.9,Valencia,"6,267",Estadio Nuevo Los Cármenes,Carlos del Cerro,Match Report,
2,Sat,8/21/2021,22:00 (23:00),Athletic Club,1.5,1–1,1.4,Barcelona,"9,394",San Mamés,Juan Martínez,Match Report,
2,Sun,8/22/2021,17:00 (18:00),Real Sociedad,1.9,1–0,0.6,Rayo Vallecano,"7,652",Estadio Municipal de Anoeta,Santiago Jaime,Match Report,
2,Sun,8/22/2021,19:30 (20:30),Atlético Madrid,1.1,1–0,0.2,Elche,"24,926",Estadio Wanda Metropolitano,Ricardo de Burgos,Match Report,
2,Sun,8/22/2021,22:00 (23:00),Levante,2.3,3–3,1.9,Real Madrid,"9,838",Estadio Ciudad de Valencia,Guillermo Cuadra,Match Report,
2,Mon,8/23/2021,20:00 (21:00),Getafe,0.6,0–1,1.3,Sevilla,"4,810",Coliseum Alfonso Pérez,José Sánchez,Match Report,
2,Mon,8/23/2021,22:00 (23:00),Osasuna,2,0–0,0.2,Celta Vigo,"7,189",Estadio El Sadar,Alberola Rojas,Match Report,
,,,,,,,,,,,,,
3,Fri,8/27/2021,20:00 (21:00),Mallorca,1,1–0,0.5,Espanyol,"7,529",Iberostar Estadi,Isidro Díaz de Mera,Match Report,
3,Fri,8/27/2021,22:15 (23:15),Valencia,1.7,3–0,0.5,Alavés,"10,627",Estadio de Mestalla,Miguel Ángel Ortiz Arias,Match Report,
3,Sat,8/28/2021,17:00 (18:00),Celta Vigo,1.1,0–1,1.2,Athletic Club,"5,492",Estadio de Balaídos,Antonio Matéu Lahoz,Match Report,
3,Sat,8/28/2021,19:30 (20:30),Real Sociedad,1.4,1–0,0.2,Levante,"7,758",Estadio Municipal de Anoeta,José Luis Munuera,Match Report,
3,Sat,8/28/2021,19:30 (20:30),Elche,0.6,1–1,1.6,Sevilla,"10,385",Estadio Manuel Martínez Valero,Valentín Pizarro,Match Report,
3,Sat,8/28/2021,22:00 (23:00),Betis,0.9,0–1,1.1,Real Madrid,"22,590",Estadio Benito Villamarín,Alejandro Hernández,Match Report,
3,Sun,8/29/2021,17:00 (18:00),Barcelona,1.2,2–1,0.4,Getafe,"26,543",Camp Nou,Pablo González,Match Report,
3,Sun,8/29/2021,19:30 (20:30),Rayo Vallecano,2.2,4–0,0.6,Granada,583,Estadio del Rayo Vallecano,Jesús Gil,Match Report,
3,Sun,8/29/2021,19:30 (20:30),Cádiz,1.7,2–3,2.5,Osasuna,"7,452",Estadio Nuevo Mirandilla,Adrián Cordero,Match Report,
3,Sun,8/29/2021,22:00 (23:00),Atlético Madrid,2.2,2–2,0.5,Villarreal,"26,840",Estadio Wanda Metropolitano,César Soto,Match Report,
,,,,,,,,,,,,,
4,Sat,9/11/2021,18:30 (19:30),Levante,1.1,1–1,2.4,Rayo Vallecano,"12,974",Estadio Ciudad de Valencia,Alberola Rojas,Match Report,
4,Sat,9/11/2021,21:00 (22:00),Athletic Club,1.8,2–0,0.3,Mallorca,"14,566",San Mamés,Jorge Figueroa,Match Report,
