Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
1,Sat,9/19/2020,18:00 (19:00),Fiorentina,1.9,1–0,0.7,Torino,,Stadio Artemio Franchi,Rosario Abisso,Match Report,
1,Sat,9/19/2020,20:45 (21:45),Hellas Verona,0.6,3–0,2,Roma,,Stadio Marc'Antonio Bentegodi,Daniele Chiffi,Match Report,Match awarded to Hellas Verona
1,Sun,9/20/2020,12:30 (13:30),Parma,0.3,0–2,1.6,Napoli,"1,000",Stadio Ennio Tardini,Maurizio Mariani,Match Report,
1,Sun,9/20/2020,15:00 (16:00),Genoa,2.3,4–1,1.6,Crotone,,Stadio Comunale Luigi Ferraris,Giovanni Ayroldi,Match Report,
1,Sun,9/20/2020,18:00 (19:00),Sassuolo,2.1,1–1,0.9,Cagliari,850,Mapei Stadium - Città del Tricolore,Livio Marinelli,Match Report,
1,Sun,9/20/2020,20:45 (21:45),Juventus,2,3–0,0.8,Sampdoria,"1,000",Allianz Stadium,Marco Piccinini,Match Report,
1,Mon,9/21/2020,20:45 (21:45),Milan,2.6,2–0,1.1,Bologna,"1,000",Stadio Giuseppe Meazza,Federico La Penna,Match Report,
,,,,,,,,,,,,,
2,Sat,9/26/2020,15:00 (16:00),Torino,0.6,2–4,2.1,Atalanta,"1,000",Stadio Olimpico di Torino,Massimiliano Irrati,Match Report,
2,Sat,9/26/2020,18:00 (19:00),Sampdoria,1,2–3,1.1,Benevento,"1,000",Stadio Comunale Luigi Ferraris,Federico Dionisi,Match Report,
2,Sat,9/26/2020,18:00 (19:00),Cagliari,1.2,0–2,2.3,Lazio,"1,000",Sardegna Arena,Davide Massa,Match Report,
2,Sat,9/26/2020,20:45 (21:45),Inter,2.3,4–3,2.4,Fiorentina,"1,000",Stadio Giuseppe Meazza,Giampaolo Calvarese,Match Report,
2,Sun,9/27/2020,12:30 (13:30),Spezia,1.4,1–4,2.1,Sassuolo,"1,000",Stadio Dino Manuzzi,Davide Ghersini,Match Report,
2,Sun,9/27/2020,15:00 (16:00),Hellas Verona,0.9,1–0,2.2,Udinese,"1,000",Stadio Marc'Antonio Bentegodi,Manuel Volpi,Match Report,
2,Sun,9/27/2020,18:00 (19:00),Crotone,0.2,0–2,2.4,Milan,,Stadio Ezio Scida,Luca Pairetto,Match Report,
2,Sun,9/27/2020,18:00 (19:00),Napoli,2.9,6–0,0.7,Genoa,"1,000",Stadio Diego Armando Maradona,Juan Sacchi,Match Report,
2,Sun,9/27/2020,20:45 (21:45),Roma,2.8,2–2,1.9,Juventus,"1,000",Stadio Olimpico,Marco Di Bello,Match Report,
2,Mon,9/28/2020,20:45 (21:45),Bologna,1.6,4–1,1.4,Parma,"1,000",Stadio Renato Dall'Ara,Paolo Valeri,Match Report,
,,,,,,,,,,,,,
1,Wed,9/30/2020,18:00 (19:00),Benevento,1.5,2–5,3.6,Inter,"1,000",Stadio Ciro Vigorito,Marco Piccinini,Match Report,
